GovernmentName,FiscalYear,TaxRateMO,TaxRateIS,TaxRateTotal,TaxableValue,BudgetedTotalExpenditures,Population,ADAWealth,ADA,ADA5YrsAgo,ADAGrowth,ADAGrowthPct,PledgeType,TotalPrincipalOutstanding,TotalInterestOutstanding,TotalDebtServiceOutstanding,GODebtToTaxableValue,GODebtServiceToTaxableValue,DebtPerCapitaPledgeType,DebtPerADA,DebtServiceToExpenditures
Burkeville ISD,2008,1.04,0.21,1.25,139204889,4783789,2420,428836.0191,325,405,-80,-19.7531,GO,2204999,1123601,3328600,1.584,2.3912,911,6785,0.6958
Mabank ISD,2018,1.04,0.325,1.365,1103284986,37598081,25000,326866.9823,3279,3178,101,3.1781,GO,37939996,30015734,67955730,3.4388,6.1594,1518,11571,1.8074
Seagraves ISD,2018,1,0.3484,1.3484,168351824,9753566,2891,338021.0842,498,532,-34,-6.391,GO,8895000,2345600,11240600,5.2836,6.6769,3077,17861,1.1525
Blanco ISD,2009,0.993,0.1,1.093,627581384,10086020,5364,701145.578,895,901,-6,-0.6659,GO,5890000,2019540,7909540,0.9385,1.2603,1098,6581,0.7842
La Vernia ISD,2011,1.04,0.365,1.405,703931294,39793945,11613,245335.7416,2869,2460,409,16.626,GO,48845189,33813908,82659098,6.9389,11.7425,4206,17025,2.0772
Brazosport ISD,2009,1.01,0.182,1.192,7484584692,120847012,60735,628506.496,11909,12240,-331,-2.7042,GO,135396331,50955766,186352096,1.809,2.4898,2229,11369,1.542
Ingleside ISD,2021,0.9628,0.1012,1.064,2400412082,33561735,1990,1218679.39,1969.683,2052,-82.317,-4.0115,GO,37150000,15289900,52439900,1.5477,2.1846,18668,18858,1.5625
Stafford MSD,2011,1.04,0.07,1.11,2024859024,30686669,17693,672606.7315,3010,2884,126,4.3689,GO,63840000,49803981,113643981,3.1528,5.6124,3608,21209,3.7034
Goldthwaite ISD,2016,1.04,0.1511,1.1911,223102994,8185460,3092,394670.9744,565,567,-2,-0.3527,GO,8195000,5278919,13473919,3.6732,6.0393,2650,14504,1.6461
Dickinson ISD,2015,1.04,0.5,1.54,2927504970,103564339,59722,300996.9586,9701,8383,1318,15.7223,GO,262843565,172217216,435060781,8.9784,14.8611,4401,27094,4.2009
Somerset ISD,2008,1.04,0.154,1.194,317294529,37077035,14399,99978.8346,3174,2919,255,8.7359,GO,26299991,18658451,44958441,8.2888,14.1693,1827,8286,1.2126
Sudan ISD,2019,1.04,0.1515,1.1915,457713754,8238804,1642,1005021.3558,450.931,399,51.931,13.0153,GO,2000000,59278,2059278,0.437,0.4499,1218,4435,0.2499
Pearsall ISD,2009,1.17,0.24,1.41,353247594,35651769,9867,169831.3905,2080,2139,-59,-2.7583,GO,27959982,12504611,40464594,7.9151,11.455,2834,13442,1.135
Van Alstyne ISD,2014,1.12,0.4,1.52,458135885,12548643,3727,,1276,1305,-29,-2.2222,GO,31320000,15479605,46799605,6.8364,10.2152,8404,24545,3.7295
Bryson ISD,2012,1.04,0.35,1.39,137568690,4871388,1174,720066.4224,191,216,-25,-11.5741,GO,13295018,9546607,22841625,9.6643,16.6038,11325,69607,4.6889
Bridgeport ISD,2016,1.04,0.18,1.22,1404676567,27218359,10894,714761.3987,1974,2147,-173,-8.0578,GO,27195000,7484572,34679572,1.936,2.4689,2496,13777,1.2741
Menard ISD,2010,1.04,0,1.04,128904427,5157094,2428,436074.2722,296,338,-42,-12.426,GO,337500,22073,359573,0.2618,0.2789,139,1140,0.0697
Webb CISD,2015,0.8033,0.0645,0.8678,938596263,8367078,50573,3242749.6628,290,309,-19,-6.1489,GO,747310,32690,780000,0.0796,0.0831,15,2577,0.0932
Comfort ISD,2019,1.04,0.1902,1.2302,871252374,13657977,6817,825699.7106,1026.996,1054,-27.004,-2.562,GO,14479995,4278808,18758802,1.662,2.1531,2124,14099,1.3735
Hamshire-Fannett ISD,2021,1.0547,0.2412,1.2958,710683605,27624184,9534,398050.02,1783.845,1733,50.845,2.9339,GO,51105000,29403455,80508455,7.191,11.3283,5360,28646,2.9144
Baird ISD,2019,1.17,0.1887,1.3587,221631914,4656130,2424,807474.675,249.733,295,-45.267,-15.3447,GO,4615000,2226709,6841709,2.0823,3.087,1904,18460,1.4694
Little Cypress-Mauriceville CISD,2020,0.97,0.39,1.36,981491548,40124300,16782,367063.41,2944.308,3188,-243.692,-7.644,GO,64315000,27847285,92162285,6.5528,9.39,3832,21846,2.2969
Three Rivers ISD,2014,1.0233,0.1066,1.1299,1986442555,16568000,3385,,600,590,10,1.6949,GO,25125000,8519856,33644856,1.2648,1.6937,7422,41875,2.0307
New Waverly ISD,2019,1.17,0.19,1.36,353448104,12589461,4928,345709.4984,950.721,898,52.721,5.8709,GO,4600000,1115588,5715588,1.3015,1.6171,933,4837,0.454
Bosqueville ISD,2013,1.17,0.3085,1.4785,128868621,6921328,1586,221392.5547,582,474,108,22.7848,GO,10137270,6267022,16404291,7.8664,12.7295,6392,17418,2.3701
Tuloso-Midway ISD,2014,1.04,0.2771,1.3171,2184436670,49149269,6295,,3619,3248,371,11.4224,GO,76248636,36129185,112377821,3.4905,5.1445,12113,21069,2.2865
Harleton ISD,2008,1.17,0.085,1.255,155061270,5562080,2609,241253.384,643,580,63,10.8621,GO,1962297,1075028,3037325,1.2655,1.9588,752,3052,0.5461
Chapel Hill ISDb,2013,,,,,8929320,2900,109754.746,958,863,95,11.0081,LP,3311000,470455,3781455,,,1142,3456,0.4235
Gunter ISD,2015,1.17,0.45,1.62,202990610,13437876,2433,275042.9618,737,755,-18,-2.3841,GO,16070000,7249622,23319622,7.9166,11.488,6605,21805,1.7354
Houston ISD,2021,,,,,2903314697,1529513,1129523.63,177206.586,192363,-15156.414,-7.8791,LP,52130073,14176677,66306750,,,34,294,0.0228
McMullen County ISD,2018,0.9933,0.1478,1.1411,2242270508,21996411,923,7606148.925,236,226,10,4.4248,GO,17255000,1421232,18676232,0.7695,0.8329,18694,73114,0.8491
Crystal City ISD,2011,1.17,0.29,1.46,196003064,24479949,7601,110123.361,1780,1868,-88,-4.7109,GO,21569999,12149935,33719933,11.0049,17.2038,2838,12118,1.3775
New Summerfield ISD,2018,1.17,0.2895,1.4595,65700157,7028451,2272,127491.631,505,481,24,4.9896,GO,7670000,4273225,11943225,11.6742,18.1784,3376,15188,1.6993
Wylie ISDa,2012,1.17,0.47,1.64,3227380129,135571055,61963,261533.7744,12340,10206,2134,20.9093,GO,222704871,275665347,498370218,6.9005,15.4419,3594,18047,3.6761
Poth ISD,2014,1.04,0.0974,1.1374,466782335,8172443,3957,,807,764,43,5.6283,GO,5100000,1877075,6977075,1.0926,1.4947,1289,6320,0.8537
Odem-Edroy ISD,2011,1.121,0.106,1.227,269300899,13347721,4834,268356.2849,1004,1088,-84,-7.7206,GO,5709997,3240730,8950728,2.1203,3.3237,1181,5687,0.6706
Knippa ISD,2014,1.17,0.14,1.31,50727496,3393429,1130,,335,216,119,55.0926,GO,3970000,1693751,5663751,7.8261,11.1651,3513,11851,1.669
Cooper ISD,2015,1.17,0.32,1.49,178486898,8796828,4323,235755.7318,755,759,-4,-0.527,GO,11365000,5515676,16880676,6.3674,9.4577,2629,15053,1.919
Ennis ISD,2012,1.04,0.5,1.54,1715582167,57678835,27502,318059.9858,5394,5237,157,2.9979,GO,152105057,237621218,389726275,8.8661,22.7169,5531,28199,6.7568
Troy ISD,2014,1.04,0.2917,1.3317,277274454,12326948,5081,206954.2852,1340,1200,140,11.6667,GO,18325011,9897966,28222977,6.609,10.1787,3607,13675,2.2895
Bay City ISD,2017,1.1473,0.1839,1.3312,1129280491,41839520,16155,336525.5297,3371,3368,3,0.0891,GO,60603484,38325444,98928928,5.3666,8.7604,3751,17978,2.3645
Hurst-Euless-Bedford ISD,2010,1.04,0.255,1.295,8723162684,184766373,142650,447416.7503,19497,18315,1182,6.4537,GO,205151727,145602167,350753894,2.3518,4.0209,1438,10522,1.8984
Burkburnett ISD,2014,1.17,0.1245,1.2945,783227513,28642243,22014,,3124,3232,-108,-3.3416,GO,6286000,892802,7178802,0.8026,0.9166,286,2012,0.2506
Godley ISD,2012,0.942,0.196,1.138,1227040992,23118761,7300,794383.8176,1545,1409,136,9.6522,GO,33734988,24053943,57788931,2.7493,4.7096,4621,21835,2.4997
Carrollton-Farmers Branch ISD,2012,1.04,0.317,1.357,12887984141,277764942,172794,523018.5309,24642,24420,222,0.9091,GO,317180000,108543978,425723978,2.4611,3.3033,1836,12872,1.5327
Penelope ISD,2017,1.17,,1.17,26462737,2474623,598,126696.4002,198,181,17,9.3923,GO,133000,13473,146473,0.5026,0.5535,222,672,0.0592
Flour Bluff ISD,2008,1.04,0.03,1.07,2006404665,43101339,26399,388988.4318,5158,4612,546,11.8387,GO,6025000,1641075,7666075,0.3003,0.3821,228,1168,0.1779
Goodrich ISD,2017,1.17,0.16,1.33,103689877,3028635,1798,501521.0573,214,216,-2,-0.9259,GO,2925000,1158319,4083319,2.8209,3.938,1627,13668,1.3482
Giddings ISD,2014,1.04,0.38,1.42,764147255,19797753,10536,,1810,1754,56,3.1927,GO,36585000,23486825,60071825,4.7877,7.8613,3472,20213,3.0343
Stephenville ISD,2011,1.04,0.107,1.147,1241830087,29268562,23500,366686.1906,3387,3281,106,3.2307,GO,9169326,3483451,12652776,0.7384,1.0189,390,2707,0.4323
O'Donnell ISD,2007,1.281,0.105,1.386,75983479,4806077,1994,226761.5263,335,346,-11,-3.1792,GO,455000,58500,513500,0.5988,0.6758,228,1358,0.1068
Malone ISD,2012,,,,,1534576,727,412339.0075,87,64,23,35.9375,LP,746000,248248,994248,,,1026,8575,0.6479
Hico ISD,2011,1.17,0.07,1.24,152343788,7045140,3182,271384.3715,561,659,-98,-14.871,GO,4180000,2211321,6391321,2.7438,4.1953,1314,7451,0.9072
Stockdale ISD,2008,1.027,0.39,1.417,139131818,7080220,3342,188536.4838,738,713,25,3.5063,GO,7351325,4376900,11728225,5.2837,8.4296,2200,9961,1.6565
Medina Valley ISD,2010,1.09,0.29,1.38,935389939,41881126,15250,292369.2916,3199,2782,417,14.9892,GO,62786518,55215923,118002441,6.7123,12.6153,4117,19627,2.8176
Borger ISD,2014,1.04,0.2889,1.3289,584675312,24433534,14072,,2525,2538,-13,-0.5122,GO,34620218,21659050,56279268,5.9213,9.6257,2460,13711,2.3034
Sanger ISD,2016,1.17,0.2021,1.3721,823979101,32178601,13386,325797.8394,2527,2462,65,2.6401,GO,22093438,36259914,58353352,2.6813,7.0819,1650,8743,1.8134
Petrolia ISD,2015,1.17,0.213,1.383,131310771,5161069,2203,279882.1665,469,435,34,7.8161,GO,4474000,1482768,5956768,3.4072,4.5364,2031,9539,1.1542
Alvarado ISD,2012,1.04,0.276,1.316,1445964291,35130961,17575,459386.2915,3148,3032,116,3.8259,GO,52589393,45135063,97724456,3.637,6.7584,2992,16706,2.7817
Arp ISD,2007,1.37,0.185,1.555,438566763,9604965,4472,528519.1341,830,830,0,0,GO,11685000,8889703,20574703,2.6644,4.6914,2613,14078,2.1421
Beeville ISD,2007,1.37,0.144,1.514,444146896,31842468,23209,134991.3838,3290,3695,-405,-10.9608,GO,18589686,7641241,26230927,4.1855,5.9059,801,5650,0.8238
Broaddus ISD,2014,1.17,0,1.17,108095987,4264151,2619,,383,437,-54,-12.357,GO,3925000,1147803,5072803,3.631,4.6929,1499,10248,1.1896
Gruver ISD,2018,1.06,0.29,1.35,264113079,5944027,1942,692860.5023,413,386,27,6.9948,GO,2128571,54064,2182636,0.8059,0.8264,1096,5154,0.3672
Bridge City ISD,2017,1.04,0.14,1.18,997181310,24562825,15445,347751.2,2770,2586,184,7.1152,GO,18060693,5825629,23886322,1.8112,2.3954,1169,6520,0.9725
Brownsville ISD,2013,,,,,496343634,188483,112855.4651,45393,44665,728,1.6299,LP,37060000,18470828,55530828,,,197,816,0.1119
Water Valley ISD,2019,1.17,0.15,1.32,158649408,4169501,5424,427566.6741,309.573,287,22.573,7.8652,GO,2615000,763421,3378421,1.6483,2.1295,482,8435,0.8103
Peaster ISD,2018,1.04,0.4,1.44,317031838,11457274,4651,255267.5313,1114,971,143,14.7271,GO,22122306,9362547,31484853,6.9779,9.9311,4756,19858,2.748
Industrial ISD,2018,1.17,0.193,1.363,751367499,12409570,4790,641302.2707,1107,1144,-37,-3.2343,GO,15580000,3079100,18659100,2.0736,2.4834,3253,14074,1.5036
Millsap ISD,2012,1.17,0.495,1.665,272096934,9111724,3200,389253.192,699,704,-5,-0.7102,GO,22130286,17238249,39368535,8.1332,14.4686,6916,31660,4.3206
Pottsboro ISD,2010,1.04,0.18,1.22,650261676,14514701,10000,552009.0357,1178,1237,-59,-4.7696,GO,6604297,7829053,14433350,1.0156,2.2196,660,5606,0.9944
Maypearl ISD,2012,1.04,0.319,1.359,264700371,10721257,4061,268335.5122,986,959,27,2.8154,GO,16365630,12677592,29043223,6.1827,10.9721,4030,16598,2.7089
Edinburg CISD,2021,1.0524,0.0858,1.1382,7282866024,397781712,150469,240034.49,30273.053,32050,-1776.947,-5.5443,GO,130240000,54784175,185024175,1.7883,2.5405,866,4302,0.4651
La Porte ISD,2014,1.04,0.29,1.33,6879456974,90715177,40627,,7129,7270,-141,-1.9395,GO,192380000,80295509,272675509,2.7964,3.9636,4735,26986,3.0058
Hughes Springs ISD,2016,1.119,0,1.119,330276789,13021108,5727,285068.1119,1158,1076,82,7.6208,GO,2192000,535923,2727923,0.6637,0.826,383,1893,0.2095
Raymondville ISD,2014,1.04,0.34,1.38,348322136,26991479,12351,,1962,2029,-67,-3.3021,GO,20245000,9149573,29394573,5.8121,8.4389,1639,10319,1.089
Columbus ISD,2009,1.02,0.17,1.19,729237406,15906150,8900,507657.9221,1436,1477,-41,-2.7759,GO,15739989,8975110,24715099,2.1584,3.3892,1769,10961,1.5538
Alamo Heights ISD,2007,1.34,0.147,1.487,3967655663,47478115,28352,929002.9942,4271,4340,-69,-1.5899,GO,73853964,50074856,123928820,1.8614,3.1235,2605,17292,2.6102
Raymondville ISD,2019,1.17,0.14,1.31,316312879,27631731,11922,143088.0646,1839.308,1909,-69.692,-3.6507,GO,14430000,4102025,18532025,4.5619,5.8588,1210,7847,0.6707
Jim Hogg County ISD,2012,1.04,0.106,1.146,410033147,11513505,5063,407640.2984,1006,994,12,1.2072,GO,860000,28716,888716,0.2097,0.2167,170,855,0.0772
San Saba ISD,2009,,,,,7722331,4498,239903.9282,647,728,-81,-11.1264,LP,1665000,763965,2428965,,,370,2573,0.3145
Palo Pinto ISD,2012,1.04,0.021,1.061,439791695,1317602,1350,4836596.2279,91,71,20,28.169,GO,465000,73834,538834,0.1057,0.1225,344,5110,0.409
Slaton ISD,2014,1.17,0.114,1.284,366811988,15841396,7137,,1179,1194,-15,-1.2563,GO,3375000,599575,3974575,0.9201,1.0835,473,2863,0.2509
Eula ISD,2011,1.17,0.18,1.35,215842201,4506953,2600,596189.8844,362,457,-95,-20.7877,GO,5950000,2606448,8556448,2.7566,3.9642,2288,16436,1.8985
Malone ISD,2020,,,,,2270531,713,360023.12,146.685,93,53.685,57.7258,LP,183000,15512,198512,,,257,1245,0.0874
Silsbee ISD,2011,1.17,0.148,1.318,641268994,30693725,14281,240286.7971,2669,2762,-93,-3.3671,GO,14634138,3940832,18574970,2.2821,2.8966,1025,5483,0.6052
Windthorst ISD,2008,1.04,0.11,1.15,55031429,4185643,1217,111954.2125,492,451,41,9.0909,GO,2430000,1803375,4233375,4.4157,7.6926,1997,4939,1.0114
Grand Saline ISD,2015,1.17,0.1534,1.3234,224589968,13041153,6199,235667.8585,1014,1021,-7,-0.6856,GO,9873000,2663130,12536130,4.396,5.5818,1593,9737,0.9613
Ingleside ISD,2019,1.04,0.126,1.166,2013194096,44348810,10180,967685.5216,1979.907,2116,-136.093,-6.4316,GO,41120000,19357800,60477800,2.0425,3.0041,4039,20768,1.3637
Rio Vista ISD,2019,1.17,0.43,1.6,278344106,8653869,3184,367967.12,698.45,710,-11.55,-1.6268,GO,11290000,3442175,14732175,4.0561,5.2928,3546,16175,1.7024
Luling ISD,2012,1.039,0,1.039,351838940,12345009,7100,267401.7552,1316,1395,-79,-5.6631,GO,3520000,1630290,5150290,1.0005,1.4638,496,2675,0.4172
Milano ISD,2014,1.04,0.19,1.23,86673858,3777406,1699,,410,395,15,3.7975,GO,3510000,1925537,5435537,4.0497,6.2713,2066,8561,1.439
San Diego ISD,2018,1.04,0.4068,1.4468,184234466,16385423,6880,142248.9339,1298,1191,107,8.984,GO,21970000,11486590,33456590,11.925,18.1598,3193,16926,2.0419
Wharton ISD,2007,1.357,0.209,1.566,572479065,20887652,12896,263874.3355,2170,2451,-281,-11.4647,GO,25822940,22980822,48803761,4.5107,8.525,2002,11900,2.3365
Walnut Springs ISD,2011,,,,,2273138,1138,410896.3588,179,225,-46,-20.4444,LP,865000,283250,1148250,,,760,4832,0.5051
Slaton ISD,2016,1.17,0.294,1.464,364983679,16570614,6256,313653.2347,1161,1174,-13,-1.1073,GO,17035000,8672125,25707125,4.6673,7.0434,2723,14673,1.5514
Panther Creek CISD,2019,1.17,0.0675,1.2375,151207036,2203747,1087,822343.1438,137.948,135,2.948,2.1837,GO,680000,175688,855688,0.4497,0.5659,626,4928,0.3883
Leonard ISD,2010,1.17,0.1,1.27,133709348,8607699,3337,159508.3954,838,790,48,6.0759,GO,1910000,268800,2178800,1.4285,1.6295,572,2279,0.2531
Waxahachie ISD,2012,1.04,0.389,1.429,2721417949,99883498,34044,383690.9644,7093,6122,971,15.8608,GO,118578379,151070855,269649234,4.3572,9.9084,3483,16718,2.6996
Banquete ISD,2007,1.37,0.279,1.649,189213611,8903198,3830,228498.4325,828,688,140,20.3488,GO,14798998,7321729,22120727,7.8213,11.6909,3864,17873,2.4846
Hale Center ISD,2018,1.17,0.3302,1.5002,81502591,7483198,3265,157386.6017,559,601,-42,-6.9884,GO,5008649,5456739,10465388,6.1454,12.8406,1534,8960,1.3985
New Braunfels ISD,2020,0.97,0.3258,1.2958,5745684837,104861185,52497,660554.34,8717.542,7926,791.542,9.9867,GO,219702226,93886352,313588578,3.8238,5.4578,4185,25201,2.9905
Kilgore ISD,2011,1.04,0.069,1.109,1698268804,33034571,19173,475406.0548,3572,3409,163,4.7815,GO,8105000,1341643,9446643,0.4773,0.5563,423,2269,0.286
Eagle Pass ISD,2008,1.17,0.076,1.246,1421891984,119508781,51293,109597.7107,12974,12223,751,6.1442,GO,46449989,27249044,73699034,3.2668,5.1832,906,3580,0.6167
Palacios ISD,2018,1.04,0.095,1.135,1253024519,18051139,6169,971918.3735,1314,1376,-62,-4.5058,GO,5735000,523898,6258898,0.4577,0.4995,930,4365,0.3467
McDade ISD,2014,1.04,0.0689,1.1089,74752335,2098773,1334,395353.9299,189,169,20,11.8343,GO,984783,349267,1334050,1.3174,1.7846,738,5210,0.6356
Cleburne ISD,2008,1.04,0.197,1.237,2352389073,83591311,31500,379958.0521,6191,5880,311,5.2891,GO,57140102,29389109,86529211,2.429,3.6784,1814,9230,1.0351
North Lamar ISD,2011,1.04,0.097,1.137,883027585,30748921,25000,316932.6419,2786,3020,-234,-7.7483,GO,4025000,267650,4292650,0.4558,0.4861,161,1445,0.1396
Goodrich ISD,2010,,,,,3120880,10536,384688.4361,247,308,-61,-19.8052,LP,105000,7420,112420,,,10,425,0.036
Santa Anna ISD,2011,1.04,0.078,1.118,58957464,3636555,2500,231056.2342,255,262,-7,-2.6718,GO,1300000,808198,2108198,2.205,3.5758,520,5098,0.5797
Seguin ISD,2012,1.04,0.22,1.26,2674224312,75108848,41543,396458.6069,6745,6878,-133,-1.9337,GO,73159564,41303154,114462719,2.7357,4.2802,1761,10846,1.524
Garland ISD,2021,1.0413,0.305,1.3463,22484294372,658480023,305000,438600.61,51169.94,53555,-2385.06,-4.4535,GO,459545000,137913093,597458093,2.0438,2.6572,1507,8981,0.9073
Joshua ISD,2017,1.17,0.44,1.61,1303111458,50520572,26159,274353.6165,4983,4561,422,9.2524,GO,107865000,72338775,180203775,8.2775,13.8287,4123,21647,3.5669
Lancaster ISD,2010,1.035,0.378,1.413,1522280577,55601317,31500,270037.9912,5637,5026,611,12.1568,GO,102249152,108026383,210275534,6.7168,13.8132,3246,18139,3.7818
Canyon ISD,2021,0.955,0.325,1.28,5498138841,158965415,60905,574135.21,9568.755,9312,256.755,2.7572,GO,241815000,100709325,342524325,4.3981,6.2298,3970,25271,2.1547
Wolfe City ISD,2012,,,,,8002779,3006,169035.3035,561,562,-1,-0.1779,LP,4314000,1155713,5469713,,,1435,7690,0.6835
Henderson ISD,2018,1.04,0.23,1.27,1422699451,34079024,15000,473342.8901,3237,3226,11,0.341,GO,41837649,19789527,61627175,2.9407,4.3317,2789,12925,1.8084
Tyler ISD,2021,0.9591,0.345,1.3041,10044190845,276269654,114491,612432.55,16377.933,16914,-536.067,-3.1694,GO,378395000,189264020,567659020,3.7673,5.6516,3305,23104,2.0547
Hallsville ISD,2009,1.02,0.28,1.3,2846377270,46896383,16623,721159.5981,3947,3525,422,11.9716,GO,14245000,1805456,16050456,0.5005,0.5639,857,3609,0.3423
Fort Bend ISD,2008,1.04,0.21,1.25,20042067120,630723548,381500,310637.6199,64519,56626,7893,13.9388,GO,813700943,529620036,1343320979,4.06,6.7025,2133,12612,2.1298
Winnsboro ISD,2020,1.0683,0.3626,1.4309,504777095,16114876,9177,376995.61,1338.139,1389,-50.861,-3.6617,GO,30500000,17246460,47746460,6.0423,9.4589,3324,22795,2.9629
Denison ISD,2010,1.17,0.107,1.277,1275076382,42146483,23884,304640.1882,4186,4258,-72,-1.6909,GO,5829447,11910553,17740000,0.4572,1.3913,244,1393,0.4209
Schulenburg ISD,2013,1.04,0.1369,1.1769,385616829,7654374,4803,605716.7188,637,690,-53,-7.6812,GO,6508184,1715228,8223412,1.6877,2.1325,1355,10217,1.0743
