Fiscal Year,County,Region,Alleged Victims in Repeat Investigation,Alleged Victims in Initial Investigation,Recidivism
2023,Madison,7-Austin,12,51,0.235
2023,McLennan,7-Austin,152,1092,0.139
2023,Milam,7-Austin,21,113,0.186
2023,Mills,7-Austin,3,19,0.158
2023,Robertson,7-Austin,8,75,0.107
2023,San Saba,7-Austin,3,34,0.088
2023,Travis,7-Austin,434,2955,0.147
2023,Washington,7-Austin,10,111,0.09
2023,Williamson,7-Austin,151,1114,0.136
2023,Atascosa,8-San Antonio,19,189,0.101
2023,Bandera,8-San Antonio,19,135,0.141
2023,Bexar,8-San Antonio,1180,8121,0.145
2023,Calhoun,8-San Antonio,16,94,0.17
2023,Comal,8-San Antonio,74,504,0.147
2023,DeWitt,8-San Antonio,11,93,0.118
2023,Dimmit,8-San Antonio,3,47,0.064
2023,Edwards,8-San Antonio,0,14,0
2023,Frio,8-San Antonio,11,66,0.167
